id,app,category,description,auth,access,api,mcp,buildability,blocker,evidence_urls,engine
15,Pylon,2. Support and Helpdesk,"""B2B support and customer issue management""","[""token""]","""admin""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Only admins can create API tokens; customer authorization is required.""",https://docs.usepylon.com/pylon-docs/developer/api | https://docs.usepylon.com/pylon-docs/developer/authentication | https://docs.usepylon.com/pylon-docs/developer/api/authentication,AI-session-assisted-evidence-rules
16,LiveAgent,2. Support and Helpdesk,"""Customer service and live chat""","[""API key""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://support.liveagent.com/061754-API,AI-session-assisted-evidence-rules
17,Plain,2. Support and Helpdesk,"""Developer-oriented customer support platform""","[""API key""]","""unknown""","""GraphQL; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://www.plain.com/docs/api-reference/graphql/authentication | https://www.plain.com/docs/api-reference/graphql/overview,AI-session-assisted-evidence-rules
18,Help Scout,2. Support and Helpdesk,"""Shared inbox and customer support""","[""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.helpscout.com/mailbox-api/overview/authentication/ | https://developer.helpscout.com/mailbox-api/,AI-session-assisted-evidence-rules
19,Gorgias,2. Support and Helpdesk,"""Ecommerce customer support helpdesk""","[""OAuth2"", ""token""]","""partner""","""unknown""","""unknown""","""unknown""","""Private token use differs from public OAuth distribution, which requires Gorgias review. The primary access label describes public distribution.""",https://developers.gorgias.com/docs | https://developers.gorgias.com/docs/access-tokens,AI-session-assisted-evidence-rules
20,Gladly,2. Support and Helpdesk,"""Customer service and conversation platform""","[""Basic""]","""trial""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.gladly.com/rest/,AI-session-assisted-evidence-rules
21,Slack,3. Communications and Messaging,"""Team messaging and collaboration""","[""OAuth2""]","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.slack.dev/authentication/,AI-session-assisted-evidence-rules
22,Twilio,3. Communications and Messaging,"""Programmable communication APIs""","[""API key"", ""Basic""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://www.twilio.com/docs/usage/requests-to-twilio,AI-session-assisted-evidence-rules
23,Zoho Cliq,3. Communications and Messaging,"""Team messaging and collaboration""","[""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://www.zoho.com/cliq/help/restapi/v2/,AI-session-assisted-evidence-rules
24,Lark (Larksuite),3. Communications and Messaging,"""Workplace communication and collaboration""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://open.larksuite.com/document/server-docs/api-call-guide/calling-process/get-access-token,AI-session-assisted-evidence-rules
25,Pumble,3. Communications and Messaging,"""Team messaging and collaboration""","[""API key""]","""free""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""buildable""","""API addon installation and workspace permissions required; public docs say available on all plans.""",https://pumble.com/help/workspace-administration/api/,AI-session-assisted-evidence-rules
26,Discord,3. Communications and Messaging,"""Community messaging and bot platform""","[""Basic"", ""OAuth2"", ""token""]","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.discord.com/developers/topics/oauth2,AI-session-assisted-evidence-rules
27,Telegram,3. Communications and Messaging,"""Messaging bots through an HTTP interface""","[""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://core.telegram.org/bots/api,AI-session-assisted-evidence-rules
28,WhatsApp Business,3. Communications and Messaging,"""Business messaging on WhatsApp""","[""token""]","""unknown""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Test-number onboarding and production business/phone setup differ. Production permissions and messaging charges need verification.""",https://developers.facebook.com/docs/whatsapp/cloud-api/get-started/,AI-session-assisted-evidence-rules
29,Aircall,3. Communications and Messaging,"""Business calling and telephony""","[""Basic"", ""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Customer Basic-auth credentials and technology-partner OAuth are different paths; do not treat both as identical onboarding.""",https://developer.aircall.io/api-references/,AI-session-assisted-evidence-rules
30,Vonage,3. Communications and Messaging,"""Programmable messaging, voice and video""","[""API key"", ""Basic"", ""other""]","""unknown""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Product-specific JWT, key/secret and Basic methods; advanced messaging/webhook features differ.""",https://developer.vonage.com/en/getting-started/concepts/authentication,AI-session-assisted-evidence-rules
31,Google Ads,"4. Marketing, Ads, Email and Social","""Advertising campaign management and reporting""","[""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.google.com/google-ads/api/docs/get-started/introduction | https://developers.google.com/google-ads/api/docs/get-started/dev-token | https://developers.google.com/google-ads/api/docs/oauth/overview,AI-session-assisted-evidence-rules
32,Meta Ads,"4. Marketing, Ads, Email and Social","""Advertising across Meta platforms""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.facebook.com/docs/marketing-apis/,AI-session-assisted-evidence-rules
33,LinkedIn Ads,"4. Marketing, Ads, Email and Social","""LinkedIn advertising and audience tools""","[""OAuth2""]","""partner""","""unknown""","""unknown""","""unknown""","""Restricted APIs are reviewed for partnership fit; customer role and member consent are additional gates.""",https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access | https://learn.microsoft.com/en-us/linkedin/marketing/getting-started,AI-session-assisted-evidence-rules
34,GoHighLevel,"4. Marketing, Ads, Email and Social","""Marketing automation and CRM workflows""","[""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://marketplace.gohighlevel.com/docs/Authorization/OAuth2.0/,AI-session-assisted-evidence-rules
35,Mailchimp,"4. Marketing, Ads, Email and Social","""Email marketing and audience management""","[""API key"", ""Basic"", ""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://mailchimp.com/developer/marketing/docs/fundamentals/,AI-session-assisted-evidence-rules
36,Klaviyo,"4. Marketing, Ads, Email and Social","""Customer data and marketing automation""","[""API key"", ""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.klaviyo.com/en/docs/authenticate_.md,AI-session-assisted-evidence-rules
37,systeme.io,"4. Marketing, Ads, Email and Social","""Marketing funnels and contact management""","[""API key""]","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.systeme.io/docs/,AI-session-assisted-evidence-rules
38,Pinterest,"4. Marketing, Ads, Email and Social","""Visual discovery, pins and advertising""","[""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.pinterest.com/docs/getting-started/authentication/,AI-session-assisted-evidence-rules
39,Threads (Meta),"4. Marketing, Ads, Email and Social","""Publishing and interacting with Threads content""","[""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.facebook.com/docs/threads/get-started/,AI-session-assisted-evidence-rules
40,SendGrid,"4. Marketing, Ads, Email and Social","""Transactional and marketing email delivery""","[""API key""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication,AI-session-assisted-evidence-rules
41,Shopify,5. Ecommerce,"""Commerce storefront and merchant management""","[""token""]","""unknown""","""REST + GraphQL; breadth needs endpoint inventory""","""unknown""","""conditional""","""Prefer GraphQL Admin API; token lifecycle, merchant install and production app distribution still need checking.""",https://shopify.dev/docs/api/admin-graphql | https://shopify.dev/docs/apps/build/authentication-authorization/access-tokens,AI-session-assisted-evidence-rules
42,WooCommerce,5. Ecommerce,"""WordPress ecommerce extension""","[""API key"", ""Basic""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://woocommerce.github.io/woocommerce-rest-api-docs/,AI-session-assisted-evidence-rules
43,BigCommerce,5. Ecommerce,"""Hosted ecommerce platform""","[""OAuth2"", ""token""]","""unknown""","""REST + GraphQL; breadth needs endpoint inventory""","""unknown""","""conditional""","""Basic credentials in the Tax Provider API section belong to the external tax service; core store access uses its own token/OAuth model.""",https://developer.bigcommerce.com/docs/start/authentication,AI-session-assisted-evidence-rules
44,Salesforce Commerce Cloud,5. Ecommerce,"""Enterprise ecommerce platform""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,AI-session-assisted-evidence-rules
45,Magento (Adobe Commerce),5. Ecommerce,"""Extensible ecommerce platform""","[""other"", ""token""]","""unknown""","""unknown""","""unknown""","""unknown""","""PaaS/Magento OAuth 1.0a and bearer-token auth differ from Adobe SaaS IMS authentication. Scope the toolkit to a deployment type.""",https://developer.adobe.com/commerce/webapi/get-started/authentication/,AI-session-assisted-evidence-rules
46,Squarespace,5. Ecommerce,"""Website commerce and merchant workflows""","[""API key"", ""OAuth2""]","""paid""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Merchant key/API permission levels differ from commercial OAuth Extensions. Plan eligibility requires further confirmation.""",https://developers.squarespace.com/commerce-apis/authentication-and-permissions,AI-session-assisted-evidence-rules
47,Ecwid,5. Ecommerce,"""Embedded ecommerce storefronts""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.ecwid.com/ | https://docs.ecwid.com/api-reference/rest-api/getting-started,AI-session-assisted-evidence-rules
48,Gumroad,5. Ecommerce,"""Digital product sales""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://gumroad.com/api,AI-session-assisted-evidence-rules
49,Amazon Selling Partner,5. Ecommerce,"""Amazon seller data and operations""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer registration is a prerequisite; app review, roles, restricted data and seller authorization require separate investigation.""",https://developer-docs.amazon.com/sp-api/docs/registering-your-application,AI-session-assisted-evidence-rules
50,fanbasis,5. Ecommerce,"""Creator business and monetization platform""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://fanbasis.com/,AI-session-assisted-evidence-rules
51,DataForSEO,"6. Data, SEO and Scraping","""SEO and marketing data APIs""","[""Basic""]","""free""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.dataforseo.com/v3/auth/,AI-session-assisted-evidence-rules
52,SE Ranking,"6. Data, SEO and Scraping","""SEO and AI-search visibility data""","[""API key""]","""trial""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""API can be tested during a trial; higher volume may require API add-on or funded pay-as-you-go. Trial is not free production.""",https://seranking.com/api.html,AI-session-assisted-evidence-rules
53,Ahrefs,"6. Data, SEO and Scraping","""SEO research and website analytics""","[""API key""]","""paid""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Eligible paid plans have API access; other plans only have limited free test queries, not a generally free API.""",https://docs.ahrefs.com/docs/api/reference/introduction | https://docs.ahrefs.com/docs/api/reference/authentication,AI-session-assisted-evidence-rules
54,MrScraper,"6. Data, SEO and Scraping","""Web scraping and extraction""","""unknown""","""unknown""","""HTTP API; breadth needs endpoint inventory""","""official""","""conditional""","""MCP is documented, but account token and plan eligibility still need checking.""",https://docs.mrscraper.com/,AI-session-assisted-evidence-rules
55,Apify,"6. Data, SEO and Scraping","""Web scraping actors and automation""","[""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.apify.com/api/v2,AI-session-assisted-evidence-rules
56,Firecrawl,"6. Data, SEO and Scraping","""Web crawling and structured extraction""","[""API key"", ""token""]","""free""","""unknown""","""official""","""buildable""","""Limited no-key trial calls are documented; full tools and higher limits depend on a team plan or API key.""",https://docs.firecrawl.dev/introduction | https://docs.firecrawl.dev/mcp-server,AI-session-assisted-evidence-rules
57,Bright Data,"6. Data, SEO and Scraping","""Web data and proxy infrastructure""","[""API key""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""API key auth differs from proxy-native username/password access. Billing applies.""",https://docs.brightdata.com/api-reference/authentication,AI-session-assisted-evidence-rules
58,Sherlock,"6. Data, SEO and Scraping","""Public username discovery CLI""","[""other: local execution; no service auth""]","""free""","""Local CLI; no hosted API asserted""","""unknown""","""buildable""","""Local CLI, not an authenticated hosted SaaS API. Wrap the process with bounded execution and validate inputs.""",https://github.com/sherlock-project/sherlock,AI-session-assisted-evidence-rules
59,Waterfall.io,"6. Data, SEO and Scraping","""Contact and company enrichment""","[""API key""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://waterfall.io/,AI-session-assisted-evidence-rules
60,Clay,"6. Data, SEO and Scraping","""Sales research and data enrichment""","""unknown""","""unknown""","""unknown""","""unknown""","""unknown""","""This source describes Clay calling external APIs. It does not establish Clay own API credentials, inbound surface or onboarding.""",https://university.clay.com/docs/http-api-integration-overview,AI-session-assisted-evidence-rules
61,GitHub,"7. Developer, Infra and Data platforms","""Code hosting and developer collaboration""","[""OAuth2"", ""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""Use a scoped PAT or OAuth/GitHub App for customer data; password authentication is explicitly unsupported. Rate limits apply.""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api | https://docs.github.com/en/copilot/customizing-copilot/extending-the-capabilities-of-github-copilot-in-your-organization/about-the-github-mcp-server | https://github.com/github/github-mcp-server,AI-session-assisted-evidence-rules
62,Vercel,"7. Developer, Infra and Data platforms","""Web application deployment platform""","""unknown""","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""REST index contains API-key management endpoints; that alone does not prove API-key authentication. Retrieve auth-specific documentation.""",https://vercel.com/docs/rest-api | https://vercel.com/docs/rest-api/reference/welcome | https://vercel.com/docs/rest-api/reference/welcome#authentication,AI-session-assisted-evidence-rules
63,Netlify,"7. Developer, Infra and Data platforms","""Web hosting and deployment automation""","[""OAuth2"", ""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,AI-session-assisted-evidence-rules
64,Cloudflare,"7. Developer, Infra and Data platforms","""Internet infrastructure and security""","[""token""]","""unknown""","""unknown""","""unknown""","""unknown""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.cloudflare.com/fundamentals/api/get-started/create-token/,AI-session-assisted-evidence-rules
65,Supabase,"7. Developer, Infra and Data platforms","""Database and application backend platform""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""official""","""conditional""","""Management API OAuth/PAT and project data APIs are separate surfaces. Scope MCP to a project and enable read-only mode for initial testing.""",https://supabase.com/docs/reference/api/introduction | https://supabase.com/docs/guides/getting-started/mcp,AI-session-assisted-evidence-rules
66,Neo4j,"7. Developer, Infra and Data platforms","""Graph database and Cypher queries""","""unknown""","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://neo4j.com/docs/query-api/current/ | https://neo4j.com/docs/query-api/current/auth/,AI-session-assisted-evidence-rules
67,Snowflake,"7. Developer, Infra and Data platforms","""Cloud data warehouse and analytics""","[""OAuth2"", ""other"", ""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""OAuth, PAT, key-pair and workload federation vary; Snowflake account roles and compute costs matter.""",https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication,AI-session-assisted-evidence-rules
68,MongoDB Atlas,"7. Developer, Infra and Data platforms","""Managed MongoDB databases""","[""OAuth2"", ""other""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Service-account OAuth is recommended; legacy API keys use HTTP Digest, not HTTP Basic.""",https://www.mongodb.com/docs/atlas/api/api-authentication/,AI-session-assisted-evidence-rules
69,Datadog,"7. Developer, Infra and Data platforms","""Infrastructure monitoring and observability""","[""API key""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Write operations need an API key; reads also need an application key. Use scopes and organization permissions.""",https://docs.datadoghq.com/api/latest/authentication/,AI-session-assisted-evidence-rules
70,Sentry,"7. Developer, Infra and Data platforms","""Application error and performance monitoring""","[""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.sentry.io/api/auth/,AI-session-assisted-evidence-rules
71,Notion,8. Productivity and Project Management,"""Workspace documents and knowledge management""","[""OAuth2"", ""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.notion.com/docs/authorization | https://developers.notion.com/docs/mcp,AI-session-assisted-evidence-rules
72,Airtable,8. Productivity and Project Management,"""Structured bases and collaborative data""","[""OAuth2"", ""token""]","""free""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""buildable""","""Legacy API keys are deprecated. PAT/OAuth routes and free-plan rate limits should be verified in current docs.""",https://airtable.com/developers/web/api/introduction | https://support.airtable.com/articles/9934989703-creating-personal-access-tokens | https://support.airtable.com/articles/6292134965-getting-started-with-airtable-s-web-api,AI-session-assisted-evidence-rules
73,Linear,8. Productivity and Project Management,"""Issue tracking and product development""","[""API key"", ""OAuth2""]","""unknown""","""GraphQL; breadth needs endpoint inventory""","""official""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://linear.app/developers/graphql | https://linear.app/docs/mcp,AI-session-assisted-evidence-rules
74,Jira,8. Productivity and Project Management,"""Project and issue management""","[""Basic"", ""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Jira Cloud REST and GraphQL references must be scoped separately; avoid extracting auth from embedded frontend metadata.""",https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/ | https://developer.atlassian.com/cloud/jira/platform/basic-auth-for-rest-apis/,AI-session-assisted-evidence-rules
75,Asana,8. Productivity and Project Management,"""Tasks and team project management""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.asana.com/docs/authentication,AI-session-assisted-evidence-rules
76,Monday.com,8. Productivity and Project Management,"""Work management and collaborative boards""","[""token""]","""trial""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.monday.com/api-reference/docs/authentication,AI-session-assisted-evidence-rules
77,ClickUp,8. Productivity and Project Management,"""Tasks and project management""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.clickup.com/docs/authentication,AI-session-assisted-evidence-rules
78,Coda,8. Productivity and Project Management,"""Collaborative documents and structured tables""","[""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""Coda reference now presents Superhuman Docs branding; verify current host/product mapping before integration.""",https://coda.io/developers/apis/v1,AI-session-assisted-evidence-rules
79,Smartsheet,8. Productivity and Project Management,"""Spreadsheet-style work management""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Paid-plan restrictions require a plan-specific source; creating a token does not alone prove free API access.""",https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication,AI-session-assisted-evidence-rules
80,Harvest,8. Productivity and Project Management,"""Time tracking and invoicing""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Personal access tokens replaced Basic auth from API v1; do not report Basic as a current v2 method.""",https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,AI-session-assisted-evidence-rules
